"Site Id:";"MLabsPy Generated Test Data -- ";

"Record Time";"L1";"L2";"L3";"L12";"L23";"L31";"I1";"I2";"I3";"In";" Freq.";"V-avr";"U-avr";"I-avr";"P";"Q";"S";" PF ";" dI1";" dI2";" dI3";" dIo";" dkW";" dkVAr";"THD L1";"THD L2";"THD L3";"THD L12";"THD L23";"THD L31";"THD I1";"THD I2";"THD I3";"THD In";" P1";" P2";" P3";" Q1";" Q2";" Q3";" kWh_Im";" kWh_Ex";" kVArh-C";" kVArh-I";

"00:00:23";"     128.2 V ";"     127.9 V ";"     127.2 V ";"     221.7 V ";"     221.1 V ";"     221.3 V ";"       0.0 A ";"       0.0 A ";"       0.0 A ";"       0.0 A ";"     59.98 Hz ";"     127.7 V ";"     221.3 V ";"       0.0 A ";"       0.0 kW ";"       0.0 kVAr ";"       0.0 kVA ";"     0.000   ";"       0.0 A ";"       0.0 A ";"       0.0 A ";"       0.0 A ";"       0.0 kW ";"       0.0 kVAr ";"       2.8   ";"       3.8   ";"       2.2   ";"       3.4   ";"       3.0   ";"       2.0   ";"       0.0   ";"       0.0   ";"       0.0   ";"       0.0   ";"       0.0 kW ";"       0.0 kW ";"       0.0 kW ";"       0.0 kVAr ";"       0.0 kVAr ";"       0.0 kVAr ";"       190 kWh ";"         0 kWh ";"        30 kVArh ";"        28 kVArh ";
"00:00:46";"     127.8 V ";"     127.6 V ";"     127.0 V ";"     220.9 V ";"     220.7 V ";"     220.8 V ";"       0.0 A ";"       0.0 A ";"       0.0 A ";"       0.0 A ";"     59.99 Hz ";"     127.4 V ";"     220.8 V ";"       0.0 A ";"       0.0 kW ";"       0.0 kVAr ";"       0.0 kVA ";"     0.000   ";"       0.0 A ";"       0.0 A ";"       0.0 A ";"       0.0 A ";"       0.0 kW ";"       0.0 kVAr ";"       2.5   ";"       3.4   ";"       2.1   ";"       3.2   ";"       2.9   ";"       1.8   ";"       0.0   ";"       0.0   ";"       0.0   ";"       0.0   ";"       0.0 kW ";"       0.0 kW ";"       0.0 kW ";"       0.0 kVAr ";"       0.0 kVAr ";"       0.0 kVAr ";"       190 kWh ";"         0 kWh ";"        30 kVArh ";"        28 kVArh ";
"00:01:08";"     128.0 V ";"     127.5 V ";"     127.0 V ";"     221.0 V ";"     220.4 V ";"     221.0 V ";"       0.0 A ";"       0.0 A ";"       0.0 A ";"       0.0 A ";"     59.98 Hz ";"     127.5 V ";"     220.8 V ";"       0.0 A ";"       0.0 kW ";"       0.0 kVAr ";"       0.0 kVA ";"     0.000   ";"       0.0 A ";"       0.0 A ";"       0.0 A ";"       0.0 A ";"       0.0 kW ";"       0.0 kVAr ";"       3.3   ";"       3.9   ";"       2.5   ";"       3.8   ";"       3.4   ";"       2.5   ";"       0.0   ";"       0.0   ";"       0.0   ";"       0.0   ";"       0.0 kW ";"       0.0 kW ";"       0.0 kW ";"       0.0 kVAr ";"       0.0 kVAr ";"       0.0 kVAr ";"       190 kWh ";"         0 kWh ";"        30 kVArh ";"        28 kVArh ";
"00:01:30";"     128.4 V ";"     127.9 V ";"     127.4 V ";"     221.9 V ";"     221.2 V ";"     221.7 V ";"       0.0 A ";"       0.0 A ";"       0.0 A ";"       0.0 A ";"     60.00 Hz ";"     127.9 V ";"     221.6 V ";"       0.0 A ";"       0.0 kW ";"       0.0 kVAr ";"       0.0 kVA ";"     0.000   ";"       0.0 A ";"       0.0 A ";"       0.0 A ";"       0.0 A ";"       0.0 kW ";"       0.0 kVAr ";"       2.6   ";"       3.4   ";"       2.1   ";"       3.2   ";"       2.9   ";"       1.9   ";"       0.0   ";"       0.0   ";"       0.0   ";"       0.0   ";"       0.0 kW ";"       0.0 kW ";"       0.0 kW ";"       0.0 kVAr ";"       0.0 kVAr ";"       0.0 kVAr ";"       190 kWh ";"         0 kWh ";"        30 kVArh ";"        28 kVArh ";
"00:01:52";"     128.7 V ";"     128.0 V ";"     127.6 V ";"     222.3 V ";"     221.4 V ";"     221.9 V ";"       0.0 A ";"       0.0 A ";"       0.0 A ";"       0.0 A ";"     59.97 Hz ";"     128.1 V ";"     221.8 V ";"       0.0 A ";"       0.0 kW ";"       0.0 kVAr ";"       0.0 kVA ";"     0.000   ";"       0.0 A ";"       0.0 A ";"       0.0 A ";"       0.0 A ";"       0.0 kW ";"       0.0 kVAr ";"       3.4   ";"       4.1   ";"       2.6   ";"       3.4   ";"       2.9   ";"       2.0   ";"       0.0   ";"       0.0   ";"       0.0   ";"       0.0   ";"       0.0 kW ";"       0.0 kW ";"       0.0 kW ";"       0.0 kVAr ";"       0.0 kVAr ";"       0.0 kVAr ";"       190 kWh ";"         0 kWh ";"        30 kVArh ";"        28 kVArh ";
"00:02:15";"     128.4 V ";"     129.1 V ";"     127.9 V ";"     222.7 V ";"     223.8 V ";"     221.1 V ";"      45.4 A ";"      58.6 A ";"      44.1 A ";"      15.4 A ";"     59.99 Hz ";"     128.4 V ";"     222.5 V ";"      49.3 A ";"      18.5 kW ";"      -2.3 kVAr ";"      19.0 kVA ";"    -0.973   ";"      47.8 A ";"      61.6 A ";"      49.7 A ";"      52.8 A ";"      38.9 kW ";"       5.7 kVAr ";"       2.9   ";"       2.2   ";"       4.0   ";"       1.9   ";"       2.9   ";"       3.3   ";"      14.7   ";"      12.6   ";"      16.3   ";"       0.0   ";"       5.7 kW ";"       7.4 kW ";"       5.3 kW ";"       0.9 kVAr ";"      -1.4 kVAr ";"      -1.7 kVAr ";"       462 kWh ";"         0 kWh ";"        99 kVArh ";"        36 kVArh ";
"00:02:36";"     128.3 V ";"     129.0 V ";"     127.8 V ";"     222.5 V ";"     223.6 V ";"     221.0 V ";"      44.9 A ";"      58.5 A ";"      44.0 A ";"      14.9 A ";"     60.00 Hz ";"     128.3 V ";"     222.3 V ";"      49.1 A ";"      18.4 kW ";"      -2.3 kVAr ";"      18.9 kVA ";"    -0.974   ";"      47.8 A ";"      61.6 A ";"      49.7 A ";"      52.8 A ";"      38.9 kW ";"       5.7 kVAr ";"       2.8   ";"       2.2   ";"       3.8   ";"       2.0   ";"       3.2   ";"       3.3   ";"      14.3   ";"      11.4   ";"      14.4   ";"       0.0   ";"       5.6 kW ";"       7.3 kW ";"       5.3 kW ";"       0.8 kVAr ";"      -1.4 kVAr ";"      -1.7 kVAr ";"       462 kWh ";"         0 kWh ";"        99 kVArh ";"        36 kVArh ";
"00:02:59";"     128.4 V ";"     127.7 V ";"     127.0 V ";"     222.0 V ";"     220.7 V ";"     221.0 V ";"       0.0 A ";"       0.0 A ";"       0.0 A ";"       0.0 A ";"     60.00 Hz ";"     127.7 V ";"     221.2 V ";"       0.0 A ";"       0.0 kW ";"       0.0 kVAr ";"       0.0 kVA ";"     0.000   ";"       0.0 A ";"       0.0 A ";"       0.0 A ";"       0.0 A ";"       0.0 kW ";"       0.0 kVAr ";"       2.5   ";"       3.6   ";"       2.2   ";"       3.2   ";"       3.0   ";"       2.0   ";"       0.0   ";"       0.0   ";"       0.0   ";"       0.0   ";"       0.0 kW ";"       0.0 kW ";"       0.0 kW ";"       0.0 kVAr ";"       0.0 kVAr ";"       0.0 kVAr ";"       190 kWh ";"         0 kWh ";"        30 kVArh ";"        28 kVArh ";
"00:03:21";"     128.7 V ";"     128.1 V ";"     127.7 V ";"     222.3 V ";"     221.6 V ";"     222.0 V ";"       0.0 A ";"       0.0 A ";"       0.0 A ";"       0.0 A ";"     60.00 Hz ";"     128.1 V ";"     221.9 V ";"       0.0 A ";"       0.0 kW ";"       0.0 kVAr ";"       0.0 kVA ";"     0.000   ";"       0.0 A ";"       0.0 A ";"       0.0 A ";"       0.0 A ";"       0.0 kW ";"       0.0 kVAr ";"       2.6   ";"       3.5   ";"       2.2   ";"       3.3   ";"       3.0   ";"       2.0   ";"       0.0   ";"       0.0   ";"       0.0   ";"       0.0   ";"       0.0 kW ";"       0.0 kW ";"       0.0 kW ";"       0.0 kVAr ";"       0.0 kVAr ";"       0.0 kVAr ";"       190 kWh ";"         0 kWh ";"        30 kVArh ";"        28 kVArh ";
